Protein_ID,Peptide_ID,Log_Affinity
1VRK_B_A,1VRK_B_A,0.832508913
2KJ4_B_A,2KJ4_B_A,1.812913357
2OQJ_C_A,2OQJ_C_A,5.301029996
2OTK_C_E,2OTK_C_E,1.230448921
3BKY_P_H,3BKY_P_H,1.477121255
3IXT_P_H,3IXT_P_H,-1.455931956
3O40_B_A,3O40_B_A,0.146128036
3PP4_P_H,3PP4_P_H,3.84509804
4BKL_E_A,4BKL_E_A,2.437750563
4DZV_B_A,4DZV_B_A,1.041392685
4N8C_X_H,4N8C_X_H,-0.397940009
5DRZ_Q_A,5DRZ_Q_A,0.643452676
5GHW_P_H,5GHW_P_H,0.982271233
5KN5_C_A,5KN5_C_A,-0.991399828
6BB4_P_H,6BB4_P_H,1.187520721
6BLH_G_H,6BLH_G_H,0.612783857
6BLI_C_A,6BLI_C_A,-0.283996656
6CBP_P_A,6CBP_P_A,3.84509804
6D01_I_A,6D01_I_A,2.456366033
6H06_I_A,6H06_I_A,3.748188027
6H0E_I_A,6H0E_I_A,2.380211242
1F90_E_H,1F90_E_H,1.075546961
1JP5_C_A,1JP5_C_A,-0.22184875
1TET_P_H,1TET_P_H,2.919078092
2EH8_P_H,2EH8_P_H,1.041392685
2FX7_P_H,2FX7_P_H,1.301029996
2FX8_P_H,2FX8_P_H,2.480006943
2FX9_P_H,2FX9_P_H,1.230448921
2HKF_P_H,2HKF_P_H,2.62324929
2HRP_P_H,2HRP_P_H,0.698970004
2OR9_P_H,2OR9_P_H,2.698970004
2QHR_P_H,2QHR_P_H,1.612783857
2R0Z_Q_H,2R0Z_Q_H,3.531478917
2XZQ_P_H,2XZQ_P_H,2.414973348
2Y06_P_H,2Y06_P_H,2.903089987
2Y07_P_H,2Y07_P_H,2.77815125
2Y36_P_H,2Y36_P_H,2.579783597
2Y6S_P_C,2Y6S_P_C,2.012837225
2ZPK_P_H,2ZPK_P_H,1.243038049
3E8U_P_H,3E8U_P_H,-0.420216403
3EYF_E_B,3EYF_E_B,1.973127854
3EYS_Q_H,3EYS_Q_H,3.477121255
3EYU_Q_H,3EYU_Q_H,1.380211242
3FN0_P_H,3FN0_P_H,4.602059991
3G5V_C_A,3G5V_C_A,1.204119983
3G5Y_E_A,3G5Y_E_A,1.544068044
3GGW_E_A,3GGW_E_A,3.462397998
3GHE_P_H,3GHE_P_H,3.113943352
3IET_X_A,3IET_X_A,2.146128036
3IFL_P_H,3IFL_P_H,0.924279286
3IFO_P_H,3IFO_P_H,1.736396502
3IFP_P_H,3IFP_P_H,1.389166084
3KD7_G_B,3KD7_G_B,5.301029996
3LRH_B_A,3LRH_B_A,1.653212514
3O6L_C_H,3O6L_C_H,1.491361694
3O6M_C_H,3O6M_C_H,1.51851394
3TFK_B_C,3TFK_B_C,3.986771734
3TJH_B_C,3TJH_B_C,3.591064607
3TPU_J_B,3TPU_J_B,4.681241237
3U0T_E_B,3U0T_E_B,-0.522878745
3UYR_P_H,3UYR_P_H,2.103803721
4GLR_A_H,4GLR_A_H,-0.455931956
4GW1_E_A,4GW1_E_A,2.633468456
4GW5_E_A,4GW5_E_A,3.544068044
4HS6_Z_A,4HS6_Z_A,1.477121255
4HS8_A_H,4HS8_A_H,1.079181246
4J8R_I_A,4J8R_I_A,1.301029996
4JFX_P_H,4JFX_P_H,2.556302501
4JFZ_P_H,4JFZ_P_H,1.851258349
4JG0_P_H,4JG0_P_H,2.235528447
4JG1_P_H,4JG1_P_H,2.365487985
4JMG_B_A,4JMG_B_A,0.176091259
4JMH_B_A,4JMH_B_A,0.322219295
4M1D_P_H,4M1D_P_H,1.361727836
4O4Y_A_H,4O4Y_A_H,1.190331698
4ONF_P_H,4ONF_P_H,0.079181246
4QOK_C_D,4QOK_C_D,3.806179974
4QXT_Q_A,4QXT_Q_A,1.204119983
4QY8_Q_A,4QY8_Q_A,1.806179974
4QYO_Q_A,4QYO_Q_A,0.77815125
4R3S_Q_A,4R3S_Q_A,0.77815125
4RIS_P_H,4RIS_P_H,2.954242509
4WHT_A_B,4WHT_A_B,0.897627091
4WHY_A_I,4WHY_A_I,0.897627091
4XGZ_A_B,4XGZ_A_B,1.380211242
4XH2_A_B,4XH2_A_B,0.77815125
4YHP_P_H,4YHP_P_H,0.301029996
4YHZ_P_H,4YHZ_P_H,1.041392685
5AEI_D_A,5AEI_D_A,0.041392685
5CSZ_D_H,5CSZ_D_H,1.230448921
5DD0_P_H,5DD0_P_H,1.922725458
5E2V_P_H,5E2V_P_H,2.919601024
5EOC_P_H,5EOC_P_H,1.481442629
5ESQ_E_A,5ESQ_E_A,3.204119983
5ETU_E_A,5ETU_E_A,5.113943352
5FF6_E_A,5FF6_E_A,3.977723605
5HPM_E_A,5HPM_E_A,1.86923172
5I8C_C_A,5I8C_C_A,1.397940009
5ICX_E_A,5ICX_E_A,2.041392685
5ICY_E_A,5ICY_E_A,3.939519253
5ICZ_E_A,5ICZ_E_A,3.698970004
5ID0_E_A,5ID0_E_A,3.230448921
5ID1_E_C,5ID1_E_C,2.748188027
5IOP_E_A,5IOP_E_A,4.462397998
5ISZ_C_D,5ISZ_C_D,4.505149978
5IVN_B_A,5IVN_B_A,0.146128036
5JHD_C_D,5JHD_C_D,4.477121255
5JZI_C_D,5JZI_C_D,4.204119983
5KZP_A_H,5KZP_A_H,1.84509804
5MYK_C_A,5MYK_C_A,-0.004364805
5MYO_E_A,5MYO_E_A,-1.537602002
5MYX_E_A,5MYX_E_A,0.835690571
5NME_C_D,5NME_C_D,1.913813852
5NMF_C_D,5NMF_C_D,1.579783597
5NMG_C_D,5NMG_C_D,3.247973266
5T1K_E_A,5T1K_E_A,2.72427587
5T1L_E_A,5T1L_E_A,2.380211242
5T1M_E_A,5T1M_E_A,3.176091259
5T6P_E_C,5T6P_E_C,2.944482672
5TH2_E_A,5TH2_E_A,4.477121255
5TKJ_C_A,5TKJ_C_A,0.854306042
5TKK_A_H,5TKK_A_H,0.723455672
5VZY_A_H,5VZY_A_H,0.505149978
5W1V_C_D,5W1V_C_D,4.572871602
5W1W_C_D,5W1W_C_D,3.477121255
5WKF_C_D,5WKF_C_D,5.133538908
5WKH_C_D,5WKH_C_D,5.153814864
5WTT_P_B,5WTT_P_B,2.397940009
5YY4_B_A,5YY4_B_A,2.568201724
5ZIA_R_E,5ZIA_R_E,2.477121255
6AU5_E_A,6AU5_E_A,3.431363764
6AXK_E_A,6AXK_E_A,2.484299839
6AXL_G_A,6AXL_G_A,1.892094603
